Tarea,16/01,17/01,18/01,19/01,20/01,Tarea total
Caracteres especiales en opc,0.00,0.00,0.00,3.67,0.00,3.67
comparación  opc desarrollo vs producción,0.00,0.00,8.09,0.01,0.00,8.10
Historico Dasboard en opc,0.00,0.00,0.00,4.42,9.59,14.01
Instalacion de opc,9.74,9.40,2.29,0.00,0.00,21.43
Día total,9.74,9.40,10.38,8.10,9.59,47.21
