Tarea,02/01,03/01,04/01,05/01,06/01,Tarea total
Actualizar BD Atlacomulco,0.00,0.00,5.78,0.00,0.00,5.78
Cambiar logo,0.00,0.00,0.00,0.00,1.40,1.40
Corregir ruta de imagenes,0.00,0.00,0.00,0.00,4.63,4.63
Error Centros de costo Atlacomulco,0.00,0.00,0.00,1.11,0.00,1.11
Error de CapturaOrigen Atlacomulco,0.00,0.00,0.00,2.05,0.00,2.05
"Modificar Reporte ""Camion por Centros de Costo""",4.19,0.00,0.00,0.00,0.00,4.19
"Modificar Reporte ""Por Origen Diario""",0.00,0.15,0.00,0.00,0.00,0.15
"Modificar Reporte ""Por Origen""",3.77,0.00,0.00,0.00,0.00,3.77
"Modificar Reporte ""Por Peso""",0.78,3.82,0.00,0.00,0.00,4.60
"Modificar Reporte ""Por Tipo de Origen""",0.00,6.00,3.45,0.00,0.00,9.45
Nueva Base vacia,0.00,0.00,0.00,7.54,3.15,10.69
Día total,8.74,9.97,9.23,10.71,9.18,47.83
