Tarea,05/12,06/12,07/12,08/12,09/12,Tarea total
"Agregar campo ""Disminuciones"" a catalogo de Agregar Camión",0.00,0.83,1.19,0.00,0.00,2.02
"Agregar campo ""Disminuciones"" a catalogo de Consultar",0.00,0.00,0.37,0.00,0.00,0.37
"Agregar campo ""Disminuciones"" a catalogo de Editar Camión",0.00,0.00,2.04,0.00,0.00,2.04
Agregar campos (Placas caja y diminucion al reporte de camiones (Excel),0.00,0.00,0.00,1.13,0.00,1.13
Agregar espacio al concepto,7.58,3.00,0.00,0.00,0.00,10.58
Agregar numero de Ticket a la Validación de Viajes,0.00,0.00,6.26,4.97,0.00,11.23
Configurar SQL server  para regtipocambio.grupohi.mx,0.00,3.50,0.00,2.62,0.00,6.12
Dar de alta nuevos tags,0.00,0.00,0.00,0.00,5.56,5.56
Maya de camiones,0.00,0.00,0.00,0.88,1.05,1.93
Nuevo modulo de empresa para Acarreos (sca.grupohi.mx),0.00,0.00,0.00,0.00,1.51,1.51
Día total,7.58,7.33,9.86,9.59,8.11,42.48
