Tarea,19/12,20/12,21/12,22/12,23/12,Tarea total
Agregar campo sindicato al Reporte de viajes netos,0.00,0.00,0.39,0.00,0.00,0.39
Agregar campos (Empresa y Sindicato) al modulo de Viajes,9.62,9.83,4.44,2.35,0.00,26.24
Instalación del saoweb.grupohi.mx,0.00,0.00,0.00,0.00,4.29,4.29
Instalar mca.grupohi.mx,0.00,0.00,0.00,7.81,2.13,9.95
Revisión de Reportes lentos,0.00,0.00,3.81,0.00,0.00,3.81
Día total,9.62,9.83,8.63,10.16,6.43,44.68
